Team,Week 1,Team,Week 2,Team,Week 3,Team,Week 4,Team,Week 5,Team,Week 6,Team,Week 7,Team,Week 8,Team,Week 9,Team,Week 10,Team,Week 11,Team,Week 12,Team,Week 13,Team,Week 14,Team,Week 15,Team,Week 16,Team,Week 17
Arkansas,0,Central Michigan,0,Cincinnati,0,Connecticut,0,Connecticut,0,Eastern Michigan,0,Florida Intl,0,Florida State,0,Eastern Michigan,0,Florida Atlantic,0,Fresno State,0,Florida State,0,Florida State,0,Fresno State,0,Florida State,0,Florida State,0,Eastern Michigan,0
Arkansas State,0,Charlotte,0,Coastal Carolina,0,East Carolina,0,East Carolina,0,Florida Atlantic,0,Florida State,0,Fresno State,0,Florida Atlantic,0,Florida Intl,0,Georgia Southern,0,Fresno State,0,Fresno State,0,Georgia Southern,0,Fresno State,0,Fresno State,0,Florida Intl,0
Ball State,0,Coastal Carolina,0,Colorado State,0,Eastern Michigan,0,Eastern Michigan,0,Florida Intl,0,Fresno State,0,Georgia Southern,0,Florida Intl,0,Florida State,0,Georgia State,0,Georgia Southern,0,Georgia Southern,0,Georgia State,0,Georgia Southern,0,Georgia Southern,0,Florida State,0
Bowling Green,0,Colorado,0,Connecticut,0,Florida Atlantic,0,Florida Atlantic,0,Florida State,0,Georgia Southern,0,Georgia State,0,Florida State,0,Fresno State,0,Georgia Tech,0,Georgia State,0,Georgia State,0,Georgia Tech,0,Georgia State,0,Georgia State,0,Fresno State,0
Buffalo,0,Colorado State,0,Duke,0,Florida Intl,0,Florida Intl,0,Fresno State,0,Georgia State,0,Georgia Tech,0,Fresno State,0,Georgia Southern,0,Hawai'i,0,Georgia Tech,0,Georgia Tech,0,Houston,0,Georgia Tech,0,Georgia Tech,0,Georgia Southern,0
BYU,0,Connecticut,0,East Carolina,0,Florida State,0,Florida State,0,Georgia Southern,0,Georgia Tech,0,Hawai'i,0,Georgia Southern,0,Georgia State,0,Houston,0,Hawai'i,0,Hawai'i,0,Illinois,0,Houston,0,Houston,0,Georgia State,0
California,0,Duke,0,Eastern Michigan,0,Fresno State,0,Fresno State,0,Georgia State,0,Houston,0,Houston,0,Georgia State,0,Georgia Tech,0,Illinois,0,Houston,0,Houston,0,Kansas,0,Illinois,0,Illinois,0,Georgia Tech,0
Central Michigan,0,East Carolina,0,Florida Atlantic,0,Georgia Southern,0,Georgia Southern,0,Georgia Tech,0,Illinois,0,Illinois,0,Georgia Tech,0,Hawai'i,0,Iowa State,0,Illinois,0,Illinois,0,Kansas State,0,Kansas,0,Kansas,0,Houston,0
Charlotte,0,Eastern Michigan,0,Florida Intl,0,Georgia State,0,Georgia State,0,Houston,0,Indiana,0,Indiana,0,Hawai'i,0,Houston,0,Kansas,0,Iowa State,0,Iowa State,0,Kent State,0,Kent State,0,Kent State,0,Illinois,0
Coastal Carolina,0,Florida Atlantic,0,Florida State,0,Georgia Tech,0,Georgia Tech,0,Illinois,0,Iowa State,0,Kansas,0,Houston,0,Illinois,0,Kent State,0,Kansas,0,Kansas,0,Kentucky,0,Kentucky,0,Liberty,0,Indiana,0
Colorado,0,Florida Intl,0,Fresno State,0,Hawai'i,0,Houston,0,Indiana,0,Kansas,0,Kansas State,0,Illinois,0,Kansas,0,Kentucky,0,Kent State,0,Kent State,0,Liberty,0,Liberty,0,Louisiana Monroe,0,Iowa State,0
Colorado State,0,Florida State,0,Georgia Southern,0,Houston,0,Illinois,0,Iowa State,0,Kansas State,0,Kent State,0,Kansas,0,Kent State,0,Liberty,0,Kentucky,0,Kentucky,0,Louisiana Monroe,0,Louisiana Monroe,0,Louisiana Tech,0,Kansas,0
Connecticut,0,Georgia Southern,0,Georgia State,0,Illinois,0,Indiana,0,Kansas,0,Kent State,0,Kentucky,0,Kansas State,0,Kentucky,0,Louisiana,0,Liberty,0,Liberty,0,Louisiana Tech,0,Louisiana Tech,0,Louisville,0,Kent State,0
East Carolina,0,Georgia State,0,Georgia Tech,0,Indiana,0,Kansas,0,Kent State,0,Kentucky,0,Liberty,0,Kent State,0,Liberty,0,Louisiana Monroe,0,Louisiana Monroe,0,Louisiana Monroe,0,Louisville,0,Louisville,0,Marshall,0,Liberty,0
Eastern Michigan,0,Georgia Tech,0,Houston,0,Kansas,0,Kent State,0,Kentucky,0,Liberty,0,Louisiana,0,Kentucky,0,Louisiana,0,Louisville,0,Louisville,0,Louisville,0,Marshall,0,Marshall,0,Maryland,0,Louisiana Monroe,0
Florida Atlantic,0,Houston,0,Illinois,0,Kent State,0,Kentucky,0,Liberty,0,Louisiana,0,Louisiana Monroe,0,Liberty,0,Louisiana Monroe,0,Marshall,0,Marshall,0,Marshall,0,Maryland,0,Maryland,0,Miami,0,Marshall,0
Florida Intl,0,Illinois,0,Indiana,0,Liberty,0,Liberty,0,Louisiana,0,Louisiana Monroe,0,Louisville,0,Louisiana,0,Louisville,0,Maryland,0,Maryland,0,Maryland,0,Miami,0,Miami,0,Miami (OH),0,Maryland,0
Georgia Southern,0,Indiana,0,Kansas,0,Louisiana,0,Louisiana,0,Louisiana Monroe,0,Louisiana Tech,0,Marshall,0,Louisiana Monroe,0,Marshall,0,Miami,0,Miami,0,Miami,0,Miami (OH),0,Miami (OH),0,Michigan State,0,Miami,0
